temporada,time,colocacao,media_pontos_partida,desvio_padrao
2015,Joinville,20,0.82,1.14
2015,Palmeiras,9,1.39,1.37
2015,Ponte Preta,10,1.34,1.28
2015,Santos,7,1.53,1.33
2015,Sao Paulo,4,1.63,1.36
2015,Sport,6,1.55,1.25
2015,Vasco,18,1.08,1.24
2016,America-MG,20,0.74,1.16
2016,Athletico-PR,6,1.5,1.41
2016,Atletico-MG,4,1.68,1.29
2016,Botafogo-RJ,5,1.55,1.37
2016,Chapecoense,10,1.41,1.26
2016,Corinthians,7,1.45,1.33
2016,Coritiba,15,1.21,1.23
2016,Cruzeiro,12,1.34,1.34
2016,Figueirense,18,0.97,1.15
2016,Flamengo,2,1.87,1.26
2016,Fluminense,13,1.32,1.3
2016,Gremio,8,1.39,1.31
2016,Internacional,17,1.13,1.28
2016,Palmeiras,1,2.11,1.23
2016,Ponte Preta,8,1.39,1.37
2016,Santa Cruz,19,0.82,1.2
2016,Santos,2,1.87,1.38
2016,Sao Paulo,10,1.37,1.32
2016,Sport,14,1.24,1.34
2016,Vitoria,16,1.18,1.31
2017,Athletico-PR,11,1.34,1.34
2017,Atletico-GO,20,0.95,1.23
2017,Atletico-MG,8,1.42,1.29
2017,Avai,16,1.13,1.21
2017,Bahia,12,1.32,1.3
2017,Botafogo-RJ,10,1.39,1.31
2017,Chapecoense,8,1.42,1.35
2017,Corinthians,1,1.89,1.29
2017,Coritiba,16,1.13,1.28
2017,Cruzeiro,5,1.5,1.29
2017,Flamengo,6,1.47,1.31
2017,Fluminense,14,1.24,1.22
2017,Gremio,4,1.63,1.36
2017,Palmeiras,2,1.66,1.4
2017,Ponte Preta,19,1.03,1.26
2017,Santos,2,1.66,1.28
2017,Sao Paulo,12,1.32,1.3
2017,Sport,15,1.18,1.31
2017,Vasco,6,1.47,1.31
2017,Vitoria,16,1.13,1.28
2018,America-MG,18,1.05,1.25
2018,Athletico-PR,7,1.5,1.35
2018,Atletico-MG,6,1.55,1.37
2018,Bahia,11,1.26,1.27
2018,Botafogo-RJ,9,1.34,1.28
2018,Ceara,13,1.16,1.2
2018,Chapecoense,13,1.16,1.26
2018,Corinthians,13,1.16,1.26
2018,Cruzeiro,8,1.39,1.31
2018,Flamengo,2,1.89,1.29
2018,Fluminense,12,1.18,1.31
2018,Gremio,4,1.74,1.27
2018,Internacional,3,1.82,1.25
2018,Palmeiras,1,2.11,1.16
2018,Parana,20,0.61,0.95
2018,Santos,10,1.32,1.3
2018,Sao Paulo,5,1.66,1.21
2018,Sport,17,1.11,1.29
2018,Vasco,16,1.13,1.21
2018,Vitoria,19,0.97,1.22
2019,Athletico-PR,5,1.68,1.32
2019,Atletico-MG,13,1.26,1.33
2019,Avai,20,0.53,0.86
2019,Bahia,11,1.29,1.25
2019,Botafogo-RJ,15,1.13,1.4
2019,CSA,18,0.84,1.2
2019,Ceara,16,1.03,1.26
2019,Chapecoense,18,0.84,1.13
2019,Corinthians,8,1.47,1.25
2019,Cruzeiro,17,0.95,1.09
2019,Flamengo,1,2.37,1.1
2019,Fluminense,14,1.21,1.3
2019,Fortaleza,9,1.39,1.37
2019,Goias,10,1.37,1.38
2019,Gremio,4,1.71,1.35
2019,Internacional,7,1.5,1.35
2019,Palmeiras,2,1.95,1.23
2019,Santos,2,1.95,1.29
2019,Sao Paulo,6,1.66,1.28
2019,Vasco,11,1.29,1.25
2020,Athletico-PR,11,1.26,1.4
2020,Atletico-GO,11,1.26,1.23
2020,Atletico-MG,2,1.81,1.39
2020,Bahia,16,1.04,1.34
2020,Botafogo-RJ,18,0.85,1.03
2020,Bragantino,13,1.15,1.2
2020,Ceara,10,1.33,1.27
2020,Corinthians,8,1.44,1.28
2020,Coritiba,20,0.78,1.15
2020,Flamengo,2,1.88,1.28
2020,Fluminense,7,1.48,1.34
2020,Fortaleza,13,1.15,1.2
2020,Goias,18,0.85,1.13
2020,Gremio,5,1.73,1.15
2020,Internacional,4,1.74,1.29
2020,Palmeiras,6,1.69,1.29
2020,Santos,8,1.44,1.28
2020,Sao Paulo,1,2.07,1.17
2020,Sport,15,1.07,1.33
2020,Vasco,16,1.08,1.26
2021,America-MG,16,1.39,1.24
2021,Athletico-PR,10,1.35,1.33
2021,Atletico-GO,7,1.41,1.24
2021,Atletico-MG,1,2.1,1.23
2021,Bahia,13,1.2,1.27
2021,Botafogo-RJ,24,0.36,0.92
2021,Bragantino,4,1.59,1.24
2021,Ceara,10,1.35,1.23
2021,Chapecoense,20,0.39,0.64
2021,Corinthians,7,1.41,1.29
2021,Coritiba,23,0.91,1.14
2021,Cuiaba,18,1.24,1.15
2021,Flamengo,2,1.86,1.34
2021,Fluminense,4,1.59,1.34
2021,Fortaleza,9,1.39,1.4
2021,Goias,21,1.27,1.42
2021,Gremio,15,1.14,1.29
2021,Internacional,6,1.45,1.31
2021,Juventude,19,1.21,1.23
2021,Palmeiras,3,1.6,1.36
2021,Santos,12,1.33,1.25
2021,Sao Paulo,14,1.18,1.18
2021,Sport,17,1.04,1.26
2021,Vasco,22,1.08,1.24
2022,America-MG,10,1.39,1.37
2022,Athletico-PR,6,1.53,1.33
2022,Atletico-GO,18,0.95,1.16
2022,Atletico-MG,6,1.53,1.27
2022,Avai,19,0.92,1.24
2022,Botafogo-RJ,10,1.39,1.37
2022,Bragantino,14,1.16,1.26
2022,Ceara,17,0.97,1.08
