temporada,estado,numero_de_times,times,media_pontos
2020,GO,2,"Atletico-GO, Goias",28.5
2020,MG,1,Atletico-MG,49.0
2020,PE,1,Sport,29.0
2020,PR,2,"Athletico-PR, Coritiba",27.5
2020,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",35.0
2020,RS,2,"Gremio, Internacional",46.0
2020,SP,5,"Bragantino, Corinthians, Palmeiras, Santos, Sao Paulo",41.8
2021,BA,1,Bahia,59.0
2021,CE,2,"Ceara, Fortaleza",67.0
2021,GO,2,"Atletico-GO, Goias",41.5
2021,MG,2,"America-MG, Atletico-MG",78.0
2021,MT,1,Cuiaba,47.0
2021,PE,1,Sport,51.0
2021,PR,2,"Athletico-PR, Coritiba",38.0
2021,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",47.0
2021,RS,3,"Gremio, Internacional, Juventude",58.0
2021,SC,1,Chapecoense,15.0
2021,SP,5,"Bragantino, Corinthians, Palmeiras, Santos, Sao Paulo",70.0
2022,CE,2,"Ceara, Fortaleza",46.0
2022,GO,2,"Atletico-GO, Goias",41.0
2022,MG,2,"America-MG, Atletico-MG",55.5
2022,MT,1,Cuiaba,41.0
2022,PR,2,"Athletico-PR, Coritiba",50.0
2022,RJ,3,"Botafogo-RJ, Flamengo, Fluminense",61.67
2022,RS,2,"Internacional, Juventude",47.5
2022,SC,1,Avai,35.0
2022,SP,5,"Bragantino, Corinthians, Palmeiras, Santos, Sao Paulo",58.2
2023,BA,1,Bahia,44.0
2023,CE,1,Fortaleza,54.0
2023,GO,1,Goias,38.0
2023,MG,3,"America-MG, Atletico-MG, Cruzeiro",45.67
2023,MT,1,Cuiaba,51.0
2023,PR,2,"Athletico-PR, Coritiba",43.0
2023,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",57.75
2023,RS,2,"Gremio, Internacional",61.5
2023,SP,5,"Bragantino, Corinthians, Palmeiras, Santos, Sao Paulo",55.6
2024,BA,2,"Bahia, Vitoria",50.0
2024,CE,1,Fortaleza,68.0
2024,GO,1,Atletico-GO,30.0
2024,MG,2,"Atletico-MG, Cruzeiro",49.5
2024,MT,1,Cuiaba,30.0
2024,PR,1,Athletico-PR,42.0
2024,RJ,4,"Botafogo-RJ, Flamengo, Fluminense, Vasco",61.25
2024,RS,3,"Gremio, Internacional, Juventude",51.67
2024,SC,1,Criciuma,38.0
2024,SP,4,"Bragantino, Corinthians, Palmeiras, Sao Paulo",58.0
